3.7.0,python,damerau_levenshtein_distance,8.834623113900001e-05
3.7.0,python,hamming_distance,1.606638309999994e-06
3.7.0,python,jaro_distance,9.828591228999997e-06
3.7.0,python,jaro_winkler,8.361598946000002e-06
3.7.0,python,levenshtein_distance,1.3103951950999998e-05
3.7.0,python,match_rating_codex,2.4467042260000086e-06
3.7.0,python,match_rating_comparison,7.466622789999988e-06
3.7.0,python,metaphone,8.123160517000003e-06
3.7.0,python,nysiis,5.238380542000016e-06
3.7.0,python,porter_stem,1.2156338659e-05
3.7.0,python,soundex,3.7594541070000104e-06
3.7.0,c,damerau_levenshtein_distance,8.566922439999871e-07
3.7.0,c,hamming_distance,2.4644107000000306e-07
3.7.0,c,jaro_distance,6.960014620000266e-07
3.7.0,c,jaro_winkler,5.708560280000085e-07
3.7.0,c,levenshtein_distance,4.3724927800002435e-07
3.7.0,c,match_rating_codex,4.730034709999984e-07
3.7.0,c,match_rating_comparison,4.3227212600001506e-07
3.7.0,c,metaphone,1.3085329660000013e-06
3.7.0,c,nysiis,6.576548059999822e-07
3.7.0,c,porter_stem,8.758684809999977e-07
3.7.0,c,soundex,1.0328908430000182e-06
